,Edad,Genero,Historial_Crediticio,Salario_Anual,Deuda
666,22,M,Regular,110332.0,22560.0
667,52,F,Malo,93567.0,6647.0
668,40,M,Bueno,107483.0,21106.0
669,46,F,Regular,23188.0,6015.0
670,60,M,Regular,111205.0,21506.0
671,28,M,Malo,117349.0,48613.0
672,35,F,Bueno,69636.5,24067.0
673,64,M,Regular,71626.0,2056.0
674,29,M,Malo,108707.0,31719.0
675,26,M,Regular,30807.0,29328.0
676,27,F,Bueno,69636.5,12176.0
677,61,M,Malo,112602.0,42771.0
678,34,M,Regular,77944.0,31885.0
679,55,F,Malo,62120.0,21269.0
680,24,M,Bueno,42658.0,46515.0
681,63,M,Malo,57081.0,3114.0
682,30,M,Bueno,54986.0,13442.0
683,57,M,Regular,99322.0,40151.0
684,59,M,Bueno,114819.0,1629.0
